mode: set
clockApp/main.go:32.13,35.2 1 0
clockApp/main.go:37.18,52.9 10 1
clockApp/main.go:52.9,57.3 4 1
clockApp/main.go:62.19,65.16 3 1
clockApp/main.go:65.16,67.3 1 0
clockApp/main.go:70.49,72.2 1 1
clockApp/main.go:75.44,77.6 1 1
clockApp/main.go:77.6,78.10 1 1
clockApp/main.go:79.29,82.32 3 1
clockApp/main.go:88.4,88.45 1 1
clockApp/main.go:92.29,95.21 3 1
clockApp/main.go:102.29,105.37 3 1
clockApp/main.go:112.22,113.10 1 0
clockApp/main.go:82.32,84.5 1 0
clockApp/main.go:84.9,86.5 1 1
clockApp/main.go:88.45,91.5 2 1
clockApp/main.go:95.21,96.35 1 1
clockApp/main.go:96.35,98.6 1 0
clockApp/main.go:98.10,100.6 1 1
clockApp/main.go:105.37,106.35 1 1
clockApp/main.go:106.35,108.6 1 0
clockApp/main.go:108.10,110.6 1 1
clockApp/main.go:120.52,122.24 2 0
clockApp/main.go:134.2,135.19 2 0
clockApp/main.go:122.24,124.32 2 0
clockApp/main.go:127.3,127.32 1 0
clockApp/main.go:130.3,130.30 1 0
clockApp/main.go:124.32,126.4 1 0
clockApp/main.go:127.32,129.4 1 0
clockApp/main.go:130.30,132.4 1 0
